OBJECTID,Join_Count,TARGET_FID,site_id,site_desc,odotcity,ward,legacy,osu_city,loctype,mv_at,longitude,latitude,hours,moto,bus,workveh,car,truck,totMV,bike,ebike,totbike,ped,escoot,othermicro,tot_roll,totAT,tot_trips,moto_hr,bus_hr,workveh_hr,car_hr,truck_hr,totMV_hr,bike_hr,ebike_hr,totbike_hr,ped_hr,escoot_hr,othermicro_hr,tot_roll_hr,totAT_hr,tot_trips_hr,walkscore,bikescore,FULLNAME,FUNC_CLASS,BIKE_FAC,SHOULDER,MULTIUSE_PATH
92,0,92,501,NW 26th and NW Van Buren,city,5,new,osu,intersection,MV_AT,-123.280089,44.570414,2,0,0,13,73,4,90,61,1,52,265,5,5,10,327,417,0,0,6,36,2,45,30,0,26,132,2,2,5,164,208,71,100,,,,,
93,0,93,502,NW Beca and NW 17th,city,5,new,city,intersection,MV_AT,-123.270795,44.578154,2,0,2,0,97,0,99,33,2,35,36,3,0,3,74,173,0,1,0,48,0,50,16,1,18,18,2,0,2,37,86,76,100,,,,,
94,0,94,503,NW 27th and NW Tyler,city,5,new,osu,intersection,MV_AT,-123.281163,44.572724,2,0,0,9,189,25,223,32,6,38,99,7,2,9,146,369,0,0,4,94,12,112,16,3,19,50,4,1,4,73,184,77,100,,,,,
95,0,95,504,NW Grant and NW 29th,city,5,legacy,city,intersection,MV_AT,-123.283083,44.578664,4,22,12,71,3669,410,4184,200,41,241,197,13,4,17,455,4639,6,3,18,917,102,1046,50,10,60,49,3,1,4,114,1160,71,100,NW 29TH ST,COLLECTOR,Bike Lane,no,
96,0,96,504,NW Grant and NW 29th,city,5,legacy,city,intersection,MV_AT,-123.283083,44.578664,4,22,12,71,3669,410,4184,200,41,241,197,13,4,17,455,4639,6,3,18,917,102,1046,50,10,60,49,3,1,4,114,1160,71,100,NW 29TH ST,COLLECTOR,Bike Lane,no,
97,0,97,504,NW Grant and NW 29th,city,5,legacy,city,intersection,MV_AT,-123.283083,44.578664,4,22,12,71,3669,410,4184,200,41,241,197,13,4,17,455,4639,6,3,18,917,102,1046,50,10,60,49,3,1,4,114,1160,71,100,NW GRANT AVE,COLLECTOR,Bike Lane,no,
98,0,98,504,NW Grant and NW 29th,city,5,legacy,city,intersection,MV_AT,-123.283083,44.578664,4,22,12,71,3669,410,4184,200,41,241,197,13,4,17,455,4639,6,3,18,917,102,1046,50,10,60,49,3,1,4,114,1160,71,100,NW GRANT AVE,COLLECTOR,Bike Lane,no,
99,0,99,506,NW 11th and NW Polk,city,5,new,city,intersection,MV_AT,-123.266976,44.571326,4,1,3,3,340,39,386,96,20,126,82,3,4,7,215,601,0,1,1,85,10,96,24,5,32,20,1,1,2,54,150,82,100,NW 11TH ST,LOCAL,Neighborhood Bikeway,,
100,0,100,506,NW 11th and NW Polk,city,5,new,city,intersection,MV_AT,-123.266976,44.571326,4,1,3,3,340,39,386,96,20,126,82,3,4,7,215,601,0,1,1,85,10,96,24,5,32,20,1,1,2,54,150,82,100,NW 11TH ST,LOCAL,Neighborhood Bikeway,,
101,0,101,507,NW 16th and NW Taylor,city,5,new,city,intersection,MV_AT,-123.271253,44.573373,2,0,2,4,233,33,272,38,2,40,37,1,2,3,80,352,0,1,2,116,16,136,19,1,20,18,0,1,2,40,176,78,100,,,,,
102,0,102,508,NW Buchanan and NW 10th,city,5,new,city,intersection,MV_AT,-123.263458,44.575801,2,1,12,27,743,69,852,54,6,60,48,5,1,6,114,966,0,6,14,372,34,426,27,3,30,24,2,0,3,57,483,75,100,NW 10TH ST,NEIGHBORCOLLECTOR,Bike Lane,no,
103,0,103,508,NW Buchanan and NW 10th,city,5,new,city,intersection,MV_AT,-123.263458,44.575801,2,1,12,27,743,69,852,54,6,60,48,5,1,6,114,966,0,6,14,372,34,426,27,3,30,24,2,0,3,57,483,75,100,NW 10TH ST,NEIGHBORCOLLECTOR,Bike Lane,no,
104,0,104,508,NW Buchanan and NW 10th,city,5,new,city,intersection,MV_AT,-123.263458,44.575801,2,1,12,27,743,69,852,54,6,60,48,5,1,6,114,966,0,6,14,372,34,426,27,3,30,24,2,0,3,57,483,75,100,NW BUCHANAN AVE,ARTERIAL,Bike Lane,no,
105,0,105,508,NW Buchanan and NW 10th,city,5,new,city,intersection,MV_AT,-123.263458,44.575801,2,1,12,27,743,69,852,54,6,60,48,5,1,6,114,966,0,6,14,372,34,426,27,3,30,24,2,0,3,57,483,75,100,NW BUCHANAN AVE,ARTERIAL,Bike Lane,no,
106,0,106,509,NW Buchanan and NW 19th,city,5,new,city,intersection,MV_AT,-123.273154,44.576068,2,0,8,20,582,53,663,66,10,76,80,9,0,9,165,828,0,4,10,291,26,332,33,5,38,40,4,0,4,82,414,83,100,NW BUCHANAN AVE,ARTERIAL,Bike Lane,no,
107,0,107,509,NW Buchanan and NW 19th,city,5,new,city,intersection,MV_AT,-123.273154,44.576068,2,0,8,20,582,53,663,66,10,76,80,9,0,9,165,828,0,4,10,291,26,332,33,5,38,40,4,0,4,82,414,83,100,NW BUCHANAN AVE,ARTERIAL,Bike Lane,no,
108,0,108,510,NW 11th and NW Grant,city,5,new,city,intersection,MV_AT,-123.263555,44.579622,2,4,4,22,436,57,523,34,8,42,37,0,1,1,80,603,2,2,11,218,28,262,17,4,21,18,0,0,0,40,302,74,100,NW 11TH ST,LOCAL,Neighborhood Bikeway,,
109,0,109,510,NW 11th and NW Grant,city,5,new,city,intersection,MV_AT,-123.263555,44.579622,2,4,4,22,436,57,523,34,8,42,37,0,1,1,80,603,2,2,11,218,28,262,17,4,21,18,0,0,0,40,302,74,100,NW 11TH ST,LOCAL,Neighborhood Bikeway,,
110,0,110,510,NW 11th and NW Grant,city,5,new,city,intersection,MV_AT,-123.263555,44.579622,2,4,4,22,436,57,523,34,8,42,37,0,1,1,80,603,2,2,11,218,28,262,17,4,21,18,0,0,0,40,302,74,100,NW GRANT AVE,COLLECTOR,Bike Lane,no,
111,0,111,510,NW 11th and NW Grant,city,5,new,city,intersection,MV_AT,-123.263555,44.579622,2,4,4,22,436,57,523,34,8,42,37,0,1,1,80,603,2,2,11,218,28,262,17,4,21,18,0,0,0,40,302,74,100,NW GRANT AVE,COLLECTOR,Bike Lane,no,
112,0,112,601,NW 5th and NW Polk,city,6,new,city,intersection,MV_AT,-123.260471,44.569807,2,2,10,32,435,62,541,0,0,38,40,0,2,2,80,621,1,5,16,218,31,270,0,0,19,20,0,1,1,40,310,88,100,NW 5TH ST,ARTERIAL,Bike Lane,no,
113,0,113,601,NW 5th and NW Polk,city,6,new,city,intersection,MV_AT,-123.260471,44.569807,2,2,10,32,435,62,541,0,0,38,40,0,2,2,80,621,1,5,16,218,31,270,0,0,19,20,0,1,1,40,310,88,100,NW 5TH ST,ARTERIAL,Bike Lane,no,
114,0,114,602,NE Circle,city,6,new,city,street,MV_AT,-123.247057,44.588923,2,2,11,38,1648,284,1983,24,1,25,12,0,0,0,37,2020,1,6,19,824,142,992,12,0,12,6,0,0,0,18,1010,61,87,NE CIRCLE BLVD,ARTERIAL,Buffered Bike Lane,no,
115,0,115,602,NE Circle,city,6,new,city,street,MV_AT,-123.247057,44.588923,2,2,11,38,1648,284,1983,24,1,25,12,0,0,0,37,2020,1,6,19,824,142,992,12,0,12,6,0,0,0,18,1010,61,87,NE CIRCLE BLVD,ARTERIAL,Buffered Bike Lane,no,
116,0,116,602,NE Circle,city,6,new,city,street,MV_AT,-123.247057,44.588923,2,2,11,38,1648,284,1983,24,1,25,12,0,0,0,37,2020,1,6,19,824,142,992,12,0,12,6,0,0,0,18,1010,61,87,NE JACK LONDON ST,LOCAL,Bike Lane,no,
117,0,117,602.1,Jack London,city,6,new,city,street,MV_AT,-123.247064,44.589177,2,0,0,0,78,15,93,7,0,7,3,0,0,0,10,103,0,0,0,39,8,46,4,0,4,2,0,0,0,5,52,61,87,NE JACK LONDON ST,LOCAL,Bike Lane,no,
118,0,118,603,"NE Walnut, east of OR99W",city,6,new,city,street,MV_AT,-123.250365,44.593342,2,1,5,28,941,193,1168,5,4,9,5,0,0,0,14,1182,0,2,14,470,96,584,2,2,4,2,0,0,0,7,591,74,96,NE WALNUT BLVD,ARTERIAL,Bike Lane,no,
119,0,119,604,"NW 9th, south of NW Spruce",city,6,new,city,intersection,AT,-123.256508,44.585863,2,0,0,0,0,0,3247,26,3,29,44,2,0,2,75,3322,0,0,0,0,0,1624,13,2,14,22,1,0,1,38,1661,80,99,NW 9TH ST,ARTERIAL,Bike Lane,no,
120,0,120,605,NW Circle and NW Highland,city,6,new,city,intersection,MV_AT,-123.262535,44.588727,2,6,28,55,2812,386,3287,60,21,81,49,3,0,3,133,3420,3,14,28,1406,193,1644,30,10,40,24,2,0,2,66,1710,79,100,NW HIGHLAND DR,COLLECTOR,Bike Lane,no,
121,0,121,605,NW Circle and NW Highland,city,6,new,city,intersection,MV_AT,-123.262535,44.588727,2,6,28,55,2812,386,3287,60,21,81,49,3,0,3,133,3420,3,14,28,1406,193,1644,30,10,40,24,2,0,2,66,1710,79,100,NW HIGHLAND DR,ARTERIAL,Bike Lane,no,
122,0,122,605,NW Circle and NW Highland,city,6,new,city,intersection,MV_AT,-123.262535,44.588727,2,6,28,55,2812,386,3287,60,21,81,49,3,0,3,133,3420,3,14,28,1406,193,1644,30,10,40,24,2,0,2,66,1710,79,100,NW CIRCLE BLVD,ARTERIAL,Bike Lane,no,
123,0,123,605,NW Circle and NW Highland,city,6,new,city,intersection,MV_AT,-123.262535,44.588727,2,6,28,55,2812,386,3287,60,21,81,49,3,0,3,133,3420,3,14,28,1406,193,1644,30,10,40,24,2,0,2,66,1710,79,100,NW CIRCLE BLVD,ARTERIAL,Bike Lane,no,
124,0,124,606,NW Garfield and NW 10th,city,6,new,city,intersection,MV_AT,-123.262538,44.583139,2,3,31,23,809,0,866,0,0,43,47,0,4,4,94,960,2,16,12,404,0,433,0,0,22,24,0,2,2,47,480,79,100,NW HIGHLAND DR,NEIGHBORCOLLECTOR,Bike Lane,no,
125,0,125,606,NW Garfield and NW 10th,city,6,new,city,intersection,MV_AT,-123.262538,44.583139,2,3,31,23,809,0,866,0,0,43,47,0,4,4,94,960,2,16,12,404,0,433,0,0,22,24,0,2,2,47,480,79,100,NW HIGHLAND DR,COLLECTOR,Bike Lane,no,
126,0,126,606,NW Garfield and NW 10th,city,6,new,city,intersection,MV_AT,-123.262538,44.583139,2,3,31,23,809,0,866,0,0,43,47,0,4,4,94,960,2,16,12,404,0,433,0,0,22,24,0,2,2,47,480,79,100,NW GARFIELD AVE,COLLECTOR,Bike Lane,,
127,0,127,606,NW Garfield and NW 10th,city,6,new,city,intersection,MV_AT,-123.262538,44.583139,2,3,31,23,809,0,866,0,0,43,47,0,4,4,94,960,2,16,12,404,0,433,0,0,22,24,0,2,2,47,480,79,100,NW GARFIELD AVE,NEIGHBORCOLLECTOR,Bike Lane,no,
128,0,128,607,NW Garfield and NW Kings,city,6,new,city,intersection,MV_AT,-123.276019,44.582978,2,1,16,40,987,162,1206,42,8,50,32,3,1,4,86,1292,0,8,20,494,81,603,21,4,25,16,2,0,2,43,646,69,99,NW GARFIELD AVE,NEIGHBORCOLLECTOR,Bike Lane,no,
129,0,129,607,NW Garfield and NW Kings,city,6,new,city,intersection,MV_AT,-123.276019,44.582978,2,1,16,40,987,162,1206,42,8,50,32,3,1,4,86,1292,0,8,20,494,81,603,21,4,25,16,2,0,2,43,646,69,99,NW GARFIELD AVE,NEIGHBORCOLLECTOR,Bike Lane,no,
130,0,130,607,NW Garfield and NW Kings,city,6,new,city,intersection,MV_AT,-123.276019,44.582978,2,1,16,40,987,162,1206,42,8,50,32,3,1,4,86,1292,0,8,20,494,81,603,21,4,25,16,2,0,2,43,646,69,99,NW KINGS BLVD,ARTERIAL,Bike Lane,no,
131,0,131,607,NW Garfield and NW Kings,city,6,new,city,intersection,MV_AT,-123.276019,44.582978,2,1,16,40,987,162,1206,42,8,50,32,3,1,4,86,1292,0,8,20,494,81,603,21,4,25,16,2,0,2,43,646,69,99,NW KINGS BLVD,ARTERIAL,Bike Lane,no,
132,0,132,608,NW 17th and NW Cleveland,city,6,new,city,intersection,MV_AT,-123.271405,44.586285,2,0,0,4,75,13,92,16,1,17,22,2,2,4,43,135,0,0,2,38,6,46,8,0,8,11,1,1,2,22,68,70,97,,,,,
133,0,133,609,NW Elmwood and NW 27th,city,6,new,city,intersection,MV_AT,-123.281208,44.587749,2,0,8,1,89,6,104,0,0,33,41,0,0,0,74,178,0,4,0,44,3,52,0,0,16,20,0,0,0,37,89,61,96,,,,,
134,0,134,610,NW Walnut and NW Highland,city,6,legacy,city,intersection,MV_AT,-123.262574,44.593782,2,14,20,95,3153,493,3775,0,0,57,30,3,0,3,80,3865,7,10,48,1576,246,1888,0,0,28,15,2,0,2,40,1932,56,97,NW HIGHLAND DR,ARTERIAL,Bike Lane,no,
135,0,135,610,NW Walnut and NW Highland,city,6,legacy,city,intersection,MV_AT,-123.262574,44.593782,2,14,20,95,3153,493,3775,0,0,57,30,3,0,3,80,3865,7,10,48,1576,246,1888,0,0,28,15,2,0,2,40,1932,56,97,NW HIGHLAND DR,ARTERIAL,Bike Lane,no,
136,0,136,610,NW Walnut and NW Highland,city,6,legacy,city,intersection,MV_AT,-123.262574,44.593782,2,14,20,95,3153,493,3775,0,0,57,30,3,0,3,80,3865,7,10,48,1576,246,1888,0,0,28,15,2,0,2,40,1932,56,97,NW WALNUT BLVD,ARTERIAL,Bike Lane,no,
137,0,137,610,NW Walnut and NW Highland,city,6,legacy,city,intersection,MV_AT,-123.262574,44.593782,2,14,20,95,3153,493,3775,0,0,57,30,3,0,3,80,3865,7,10,48,1576,246,1888,0,0,28,15,2,0,2,40,1932,56,97,NW WALNUT BLVD,ARTERIAL,Bike Lane,no,
138,0,138,611,NW Garryanna and NW Forestgreen,city,6,new,city,intersection,MV_AT,-123.269368,44.590024,2,1,3,4,139,8,155,10,1,11,30,0,0,0,41,196,0,2,2,70,4,78,5,0,6,15,0,0,0,20,98,68,98,,,,,
139,0,139,612,NW Circle and NW Kings,city,6,new,city,intersection,MV_AT,-123.276012,44.586353,2,15,19,42,3099,373,3548,40,9,49,29,3,0,3,81,3629,8,10,21,1550,186,1774,20,4,24,14,2,0,2,40,1814,71,96,NW CIRCLE BLVD,COLLECTOR,Buffered Bike Lane,no,
140,0,140,612,NW Circle and NW Kings,city,6,new,city,intersection,MV_AT,-123.276012,44.586353,2,15,19,42,3099,373,3548,40,9,49,29,3,0,3,81,3629,8,10,21,1550,186,1774,20,4,24,14,2,0,2,40,1814,71,96,NW CIRCLE BLVD,ARTERIAL,Buffered Bike Lane,no,
141,0,141,612,NW Circle and NW Kings,city,6,new,city,intersection,MV_AT,-123.276012,44.586353,2,15,19,42,3099,373,3548,40,9,49,29,3,0,3,81,3629,8,10,21,1550,186,1774,20,4,24,14,2,0,2,40,1814,71,96,NW KINGS BLVD,ARTERIAL,Bike Lane,no,
142,0,142,612,NW Circle and NW Kings,city,6,new,city,intersection,MV_AT,-123.276012,44.586353,2,15,19,42,3099,373,3548,40,9,49,29,3,0,3,81,3629,8,10,21,1550,186,1774,20,4,24,14,2,0,2,40,1814,71,96,NW KINGS BLVD,ARTERIAL,Bike Lane,no,
143,0,143,613,NW 13th and NW Oak,city,6,new,city,intersection,MV_AT,-123.267136,44.592909,2,0,2,3,34,6,45,6,0,6,8,0,0,0,14,59,0,1,2,17,3,22,3,0,3,4,0,0,0,7,30,54,91,,,,,
144,0,144,614,SE Circle and OR99 MUP,odot,6,legacy,city,intersection,AT,-123.253197,44.588822,2,0,0,0,0,0,2898,43,10,53,29,0,0,0,29,2980,0,0,0,0,0,1449,22,5,26,14,0,0,0,14,1490,80,99,STATE HWY 99W,ARTERIALHWY,Bike Lane,no,
145,0,145,614,SE Circle and OR99 MUP,odot,6,legacy,city,intersection,AT,-123.253197,44.588822,2,0,0,0,0,0,2898,43,10,53,29,0,0,0,29,2980,0,0,0,0,0,1449,22,5,26,14,0,0,0,14,1490,80,99,STATE HWY 99W,ARTERIALHWY,Bike Lane,no,
146,0,146,614,SE Circle and OR99 MUP,odot,6,legacy,city,intersection,AT,-123.253197,44.588822,2,0,0,0,0,0,2898,43,10,53,29,0,0,0,29,2980,0,0,0,0,0,1449,22,5,26,14,0,0,0,14,1490,80,99,NW CIRCLE BLVD,ARTERIAL,Bike Lane,no,
147,0,147,614,SE Circle and OR99 MUP,odot,6,legacy,city,intersection,AT,-123.253197,44.588822,2,0,0,0,0,0,2898,43,10,53,29,0,0,0,29,2980,0,0,0,0,0,1449,22,5,26,14,0,0,0,14,1490,80,99,NE CIRCLE BLVD,ARTERIAL,Buffered Bike Lane,no,
148,0,148,615,SW 10th and SW Cleveland,city,6,new,city,intersection,MV_AT,-123.262458,44.585886,2,2,30,29,509,55,625,38,14,52,66,0,1,1,119,744,1,15,14,254,28,312,19,7,26,33,0,0,0,60,372,78,100,NW HIGHLAND DR,COLLECTOR,Bike Lane,no,
149,0,149,615,SW 10th and SW Cleveland,city,6,new,city,intersection,MV_AT,-123.262458,44.585886,2,2,30,29,509,55,625,38,14,52,66,0,1,1,119,744,1,15,14,254,28,312,19,7,26,33,0,0,0,60,372,78,100,NW HIGHLAND DR,COLLECTOR,Bike Lane,no,
150,0,150,701,NW 36th and NW Polk,city,7,new,city,intersection,MV_AT,-123.290868,44.573662,2,8,2,19,598,65,692,0,0,26,27,1,1,2,55,747,4,1,10,299,32,346,0,0,13,14,0,0,1,28,374,37,91,NW 36TH ST,COLLECTOR,Bike Lane,no,
151,0,151,701,NW 36th and NW Polk,city,7,new,city,intersection,MV_AT,-123.290868,44.573662,2,8,2,19,598,65,692,0,0,26,27,1,1,2,55,747,4,1,10,299,32,346,0,0,13,14,0,0,1,28,374,37,91,NW 36TH ST,COLLECTOR,Bike Lane,no,
152,0,152,702,NW Harrison and NW Walnut,city,NA,new,city,intersection,MV_AT,-123.312114,44.571067,4,28,49,259,5153,820,6309,0,0,75,32,1,0,1,108,6417,7,12,65,1288,205,1577,0,0,19,8,0,0,0,27,1604,29,81,NW OAK CREEK DR,COLLECTOR,Bike Lane,no,
153,0,153,702,NW Harrison and NW Walnut,city,NA,new,city,intersection,MV_AT,-123.312114,44.571067,4,28,49,259,5153,820,6309,0,0,75,32,1,0,1,108,6417,7,12,65,1288,205,1577,0,0,19,8,0,0,0,27,1604,29,81,53RD ST,ARTERIAL,Bike Lane,no,
154,0,154,702,NW Harrison and NW Walnut,city,NA,new,city,intersection,MV_AT,-123.312114,44.571067,4,28,49,259,5153,820,6309,0,0,75,32,1,0,1,108,6417,7,12,65,1288,205,1577,0,0,19,8,0,0,0,27,1604,29,81,NW HARRISON BLVD,ARTERIAL,Bike Lane,no,
155,0,155,703,NW Circle and NW Witham Hill,city,7,legacy,city,intersection,MV_AT,-123.295219,44.581392,4,7,34,60,2714,296,3111,0,0,40,111,6,0,6,157,3268,2,8,15,678,74,778,0,0,10,28,2,0,2,39,817,26,71,NW CIRCLE BLVD,NEIGHBORCOLLECTOR,Bike Lane,no,
156,0,156,703,NW Circle and NW Witham Hill,city,7,legacy,city,intersection,MV_AT,-123.295219,44.581392,4,7,34,60,2714,296,3111,0,0,40,111,6,0,6,157,3268,2,8,15,678,74,778,0,0,10,28,2,0,2,39,817,26,71,NW WITHAM HILL DR,COLLECTOR,Bike Lane,no,
157,0,157,703,NW Circle and NW Witham Hill,city,7,legacy,city,intersection,MV_AT,-123.295219,44.581392,4,7,34,60,2714,296,3111,0,0,40,111,6,0,6,157,3268,2,8,15,678,74,778,0,0,10,28,2,0,2,39,817,26,71,NW WITHAM HILL DR,COLLECTOR,Bike Lane,no,
158,0,158,703,NW Circle and NW Witham Hill,city,7,legacy,city,intersection,MV_AT,-123.295219,44.581392,4,7,34,60,2714,296,3111,0,0,40,111,6,0,6,157,3268,2,8,15,678,74,778,0,0,10,28,2,0,2,39,817,26,71,NW CIRCLE BLVD,NEIGHBORCOLLECTOR,Bike Lane,,
159,0,159,704,NW Fillmore and NW 34th,city,7,new,city,intersection,MV_AT,-123.288895,44.575549,6,0,4,6,124,11,146,12,2,29,70,0,0,2,101,247,0,1,1,21,2,24,2,0,5,12,0,0,0,17,41,49,92,,,,,
160,0,160,705,NW Lincoln and NW 31st,city,7,new,city,intersection,MV_AT,-123.285857,44.577112,2,0,0,1,76,10,87,0,0,28,23,0,0,0,51,138,0,0,0,38,5,44,0,0,14,12,0,0,0,26,69,63,97,,,,,
161,0,161,706,NW 27th and NW Hayes,city,7,new,city,intersection,MV_AT,-123.281099,44.58162,4,1,2,4,136,10,153,43,9,109,105,2,0,2,216,369,0,0,1,34,2,38,11,2,27,26,0,0,0,54,92,65,99,,,,,
162,0,162,707,NW Circle and NW 29th,city,7,new,city,intersection,MV_AT,-123.283106,44.586396,4,10,18,141,1897,357,2423,50,17,133,76,6,0,6,215,2638,2,4,35,474,89,606,12,4,33,19,2,0,2,54,660,52,90,NW 29TH ST,COLLECTOR,Bike Lane,no,
163,0,163,707,NW Circle and NW 29th,city,7,new,city,intersection,MV_AT,-123.283106,44.586396,4,10,18,141,1897,357,2423,50,17,133,76,6,0,6,215,2638,2,4,35,474,89,606,12,4,33,19,2,0,2,54,660,52,90,NW 29TH ST,COLLECTOR,Bike Lane,no,
164,0,164,707,NW Circle and NW 29th,city,7,new,city,intersection,MV_AT,-123.283106,44.586396,4,10,18,141,1897,357,2423,50,17,133,76,6,0,6,215,2638,2,4,35,474,89,606,12,4,33,19,2,0,2,54,660,52,90,NW CIRCLE BLVD,COLLECTOR,Buffered Bike Lane,no,
165,0,165,707,NW Circle and NW 29th,city,7,new,city,intersection,MV_AT,-123.283106,44.586396,4,10,18,141,1897,357,2423,50,17,133,76,6,0,6,215,2638,2,4,35,474,89,606,12,4,33,19,2,0,2,54,660,52,90,NW CIRCLE BLVD,NEIGHBORCOLLECTOR,Buffered Bike Lane,no,
166,0,166,801,NW Walnut and NW Glenridge,city,8,new,city,intersection,MV_AT,-123.302258,44.593906,2,10,20,106,1898,296,2330,21,7,28,22,1,0,1,51,2381,5,10,53,949,148,1165,10,4,14,11,0,0,0,26,1190,12,53,NW WALNUT BLVD,ARTERIAL,Bike Lane,no,
167,0,167,801,NW Walnut and NW Glenridge,city,8,new,city,intersection,MV_AT,-123.302258,44.593906,2,10,20,106,1898,296,2330,21,7,28,22,1,0,1,51,2381,5,10,53,949,148,1165,10,4,14,11,0,0,0,26,1190,12,53,NW WALNUT BLVD,ARTERIAL,Bike Lane,no,
168,0,168,801,NW Walnut and NW Glenridge,city,8,new,city,intersection,MV_AT,-123.302258,44.593906,2,10,20,106,1898,296,2330,21,7,28,22,1,0,1,51,2381,5,10,53,949,148,1165,10,4,14,11,0,0,0,26,1190,12,53,NW WITHAM HILL DR,COLLECTOR,Bike Lane,no,
169,0,169,801,NW Walnut and NW Glenridge,city,8,new,city,intersection,MV_AT,-123.302258,44.593906,2,10,20,106,1898,296,2330,21,7,28,22,1,0,1,51,2381,5,10,53,949,148,1165,10,4,14,11,0,0,0,26,1190,12,53,NW GLENRIDGE DR,COLLECTOR,Bike Lane,no,
170,0,170,802,NW Aspen and NW Tamarack,city,8,new,city,intersection,MV_AT,-123.293969,44.594026,2,1,2,4,216,13,236,7,3,10,29,0,0,0,39,275,0,1,2,108,6,118,4,2,5,14,0,0,0,20,138,22,49,,,,,
171,0,171,803,NW 29th and NW Arrowood,city,8,new,city,intersection,MV_AT,-123.287831,44.596609,2,0,5,30,518,51,604,14,1,15,40,1,0,1,56,660,0,2,15,259,26,302,7,0,8,20,0,0,0,28,330,26,84,NW 29TH ST,COLLECTOR,Bike Lane,no,
172,0,172,803,NW 29th and NW Arrowood,city,8,new,city,intersection,MV_AT,-123.287831,44.596609,2,0,5,30,518,51,604,14,1,15,40,1,0,1,56,660,0,2,15,259,26,302,7,0,8,20,0,0,0,28,330,26,84,NW 29TH ST,COLLECTOR,Bike Lane,no,
173,0,173,804,"NW Walnut, west of NW 29th",city,8,new,city,street,AT,-123.288348,44.593306,2,0,0,0,0,0,1671,0,0,25,11,1,0,1,37,1708,0,0,0,0,0,836,0,0,12,6,0,0,0,18,854,33,57,NW WALNUT BLVD,ARTERIAL,Bike Lane,no,
174,1,174,805,NW Walnut and NW Fair Oaks,city,8,new,city,intersection,MV_AT,-123.30764,44.587289,2,10,8,26,1278,187,1509,20,3,23,19,0,0,0,42,1551,5,4,13,639,94,754,10,2,12,10,0,0,0,21,776,7,52,,,,,1
175,0,175,806,NW Walnut and NW Kings,city,8,new,city,intersection,MV_AT,-123.276281,44.592297,2,4,26,64,3223,458,3775,0,0,11,26,2,0,2,39,3814,2,13,32,1612,229,1888,0,0,6,13,1,0,1,20,1907,61,94,NW KINGS BLVD,ARTERIAL,Bike Lane,no,
176,0,176,806,NW Walnut and NW Kings,city,8,new,city,intersection,MV_AT,-123.276281,44.592297,2,4,26,64,3223,458,3775,0,0,11,26,2,0,2,39,3814,2,13,32,1612,229,1888,0,0,6,13,1,0,1,20,1907,61,94,NW WALNUT BLVD,ARTERIAL,Bike Lane,no,
177,0,177,806,NW Walnut and NW Kings,city,8,new,city,intersection,MV_AT,-123.276281,44.592297,2,4,26,64,3223,458,3775,0,0,11,26,2,0,2,39,3814,2,13,32,1612,229,1888,0,0,6,13,1,0,1,20,1907,61,94,NW WALNUT BLVD,ARTERIAL,Bike Lane,no,
178,0,178,806,NW Walnut and NW Kings,city,8,new,city,intersection,MV_AT,-123.276281,44.592297,2,4,26,64,3223,458,3775,0,0,11,26,2,0,2,39,3814,2,13,32,1612,229,1888,0,0,6,13,1,0,1,20,1907,61,94,NW KINGS BLVD,ARTERIAL,Bike Lane,,
179,0,179,807,NW Princess and NW Queens,city,8,new,city,intersection,MV_AT,-123.298839,44.595047,2,0,0,5,44,5,54,0,2,2,7,0,0,0,9,63,0,0,2,22,2,27,0,1,1,4,0,0,0,4,32,18,70,,,,,
180,0,180,901,NW Sequoia and NW Fairlawn,city,9,new,city,intersection,MV_AT,-123.257907,44.591054,2,1,3,1,114,14,133,0,0,8,28,0,0,0,36,169,0,2,0,57,7,66,0,0,4,14,0,0,0,18,84,77,99,,,,,
181,0,181,902,NW Sycamore and NW Janssen,city,9,new,city,intersection,MV_AT,-123.260377,44.589965,2,0,1,0,113,0,114,12,2,14,34,2,0,2,50,164,0,0,0,56,0,57,6,1,7,17,1,0,1,25,82,75,100,,,,,
182,0,182,903,"NW Walnut, w. of Satinwood",city,9,new,city,street,MV_AT,-123.25978,44.593596,2,0,32,67,1754,269,2122,23,5,28,16,1,0,1,45,2167,0,16,34,877,134,1061,12,2,14,8,0,0,0,22,1084,58,95,NW WALNUT BLVD,ARTERIAL,Bike Lane,no,
183,0,183,904,NW Satinwood and NW Maxine,city,9,new,city,intersection,MV_AT,-123.257401,44.597815,2,0,6,27,566,79,678,11,4,15,49,0,0,0,64,742,0,3,14,283,40,339,6,2,8,24,0,0,0,32,371,48,79,NW SATINWOOD ST,COLLECTOR,Bike Lane,no,
184,0,184,904,NW Satinwood and NW Maxine,city,9,new,city,intersection,MV_AT,-123.257401,44.597815,2,0,6,27,566,79,678,11,4,15,49,0,0,0,64,742,0,3,14,283,40,339,6,2,8,24,0,0,0,32,371,48,79,NW SATINWOOD ST,COLLECTOR,Bike Lane,no,
185,0,185,906,NE Plymouth and NE Lancaster,city,9,new,city,intersection,MV_AT,-123.242135,44.596106,2,0,0,1,32,3,36,6,2,8,18,0,0,0,26,62,0,0,0,16,2,18,3,1,4,9,0,0,0,13,31,33,77,,,,,
